url	bukken_title	madori	construction_area	land_area	price	construction_year	construction_month	features	todofukenNm	shikugunNm	tohoJikan1
https://suumo.jp/ikkodate/tokyo/sc_shinjuku/nc_74725415/	74725415	1LDK+2S	90.05	104.62	84100000	2024	06	BELS/省エネ基準適合認定書あり|フラット３５・S適合証明書|エコポイント対象住宅|省エネルギー対策|フラット３５Sに対応|地盤調査済|年内引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|市街地が近い|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|閑静な住宅地|角地|整形地|シャワー付洗面化粧台|対面式キッチン|セキュリティ充実|ハイルーフ駐車場|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２階建|２面以上バルコニー|南面バルコニー|複層ガラス|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|都市近郊|前面棟無|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|ウォークインクローゼット|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|シューズインクローク|小学校 徒歩10分以内|ルーフバルコニー|平坦地|床暖房|納戸|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|スマートキー|高機能トイレ|ビルトインガレージ	東京都	新宿区	6
https://suumo.jp/ikkodate/tokyo/sc_suginami/nc_73899376/	73899376_3号棟	2LDK+S	100.42	120.2	111300000	2024	02	省エネルギー対策|地盤調査済|２沿線以上利用可|ＬＤＫ２０畳以上|年度内引渡可|省エネ給湯器|スーパー 徒歩10分以内|システムキッチン|浴室乾燥機|全居室収納|閑静な住宅地|総合病院 徒歩10分以内|整形地|ミストサウナ|家庭菜園|シャワー付洗面化粧台|対面式キッチン|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２階建|２面以上バルコニー|南面バルコニー|複層ガラス|温水洗浄便座|ＴＶ付浴室|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|全居室フローリング|ウォークインクローゼット|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|シューズインクローク|ジェットバス|小学校 徒歩10分以内|ルーフバルコニー|床暖房|屋上|納戸|食器洗乾燥機|浄水器|バルコニー・屋上に水栓あり|スマートキー|高機能トイレ	東京都	杉並区	16
https://suumo.jp/ikkodate/tokyo/sc_suginami/nc_73899376/	73899376_1号棟	4LDK	116.95	120.19	134800000	2024	02	省エネルギー対策|地盤調査済|２沿線以上利用可|ＬＤＫ２０畳以上|年度内引渡可|省エネ給湯器|スーパー 徒歩10分以内|システムキッチン|浴室乾燥機|全居室収納|閑静な住宅地|総合病院 徒歩10分以内|整形地|ミストサウナ|家庭菜園|シャワー付洗面化粧台|対面式キッチン|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２階建|２面以上バルコニー|南面バルコニー|複層ガラス|温水洗浄便座|ＴＶ付浴室|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|全居室フローリング|ウォークインクローゼット|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|シューズインクローク|ジェットバス|小学校 徒歩10分以内|ルーフバルコニー|床暖房|屋上|納戸|食器洗乾燥機|浄水器|バルコニー・屋上に水栓あり|スマートキー|高機能トイレ	東京都	杉並区	16
https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_74098813/	74098813	3LDK	131	126.16	199800000	2024	04	長期優良住宅認定通知書|設計住宅性能評価書|建設住宅性能評価書（新築時）|省エネルギー対策|太陽光発電システム|ＬＤＫ１８畳以上|省エネ給湯器|陽当り良好|全居室収納|南側道路面す|閑静な住宅地|整形地|トイレ２ヶ所|２階建|複層ガラス|ロフト|床下収納|吹抜け|ＴＶモニタ付インターホン|緑豊かな住宅地|都市近郊|全居室フローリング|ウォークインクローゼット|都市ガス|平坦地|床暖房|食器洗乾燥機	東京都	世田谷区	16
https://suumo.jp/ikkodate/tokyo/sc_adachi/nc_73639918/	73639918_1号棟	3LDK+S	116.14	70.26	51800000	2024	01	BELS/省エネ基準適合認定書あり|フラット３５・S適合証明書|省エネルギー対策|フラット３５Sに対応|高気密高断熱住宅|地盤調査済|即引渡可|ＬＤＫ１８畳以上|省エネ給湯器|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|南側道路面す|閑静な住宅地|前道６ｍ以上|整形地|シャワー付洗面化粧台|対面式キッチン|セキュリティ充実|ハイルーフ駐車場|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|南面バルコニー|複層ガラス|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|ウォークインクローゼット|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|シューズインクローク|小学校 徒歩10分以内|平坦地|床暖房|開発分譲地内|食器洗乾燥機|浄水器|スマートキー|高機能トイレ|ビルトインガレージ	東京都	足立区	14
https://suumo.jp/ikkodate/tokyo/sc_adachi/nc_73639918/	73639918_7号棟	3LDK+S	101.44	85.35	52800000	2024	01	BELS/省エネ基準適合認定書あり|フラット３５・S適合証明書|省エネルギー対策|フラット３５Sに対応|高気密高断熱住宅|地盤調査済|即引渡可|ＬＤＫ１８畳以上|省エネ給湯器|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|駅まで平坦|南側道路面す|閑静な住宅地|前道６ｍ以上|整形地|シャワー付洗面化粧台|対面式キッチン|セキュリティ充実|ハイルーフ駐車場|EV車充電設備|ワイドバルコニー|トイレ２ヶ所|浴室１坪以上|２面以上バルコニー|南面バルコニー|複層ガラス|オートバス|温水洗浄便座|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|通風良好|全居室フローリング|パントリー（食器・食品の収納庫）|ウォークインクローゼット|３階建以上|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|シューズインクローク|小学校 徒歩10分以内|平坦地|床暖房|開発分譲地内|食器洗乾燥機|浄水器|スマートキー|高機能トイレ|ビルトインガレージ	東京都	足立区	14
https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_74604193/	74604193_A号棟	4LDK	88.18	100.03	65900000	2024	06	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５・S適合証明書|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|南側道路面す|閑静な住宅地|総合病院 徒歩10分以内|前道６ｍ以上|角地|整形地|庭|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|３面採光|バリアフリー|トイレ２ヶ所|浴室１坪以上|２階建|南面バルコニー|複層ガラス|全室南向き|オートバス|温水洗浄便座|ロフト|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|前面棟無|通風良好|全居室フローリング|眺望良好|パントリー（食器・食品の収納庫）|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|高機能トイレ	東京都	世田谷区	
https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_74604193/	74604193_B号棟	4LDK	89.22	100.02	69900000	2024	06	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５・S適合証明書|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|南側道路面す|閑静な住宅地|総合病院 徒歩10分以内|前道６ｍ以上|角地|整形地|庭|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|３面採光|バリアフリー|トイレ２ヶ所|浴室１坪以上|２階建|南面バルコニー|複層ガラス|全室南向き|オートバス|温水洗浄便座|ロフト|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|前面棟無|通風良好|全居室フローリング|眺望良好|パントリー（食器・食品の収納庫）|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|高機能トイレ	東京都	世田谷区	
https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_74604193/	74604193_D号棟	4LDK	90.78	100	67900000	2024	06	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５・S適合証明書|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|南側道路面す|閑静な住宅地|総合病院 徒歩10分以内|前道６ｍ以上|角地|整形地|庭|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|３面採光|バリアフリー|トイレ２ヶ所|浴室１坪以上|２階建|南面バルコニー|複層ガラス|全室南向き|オートバス|温水洗浄便座|ロフト|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|前面棟無|通風良好|全居室フローリング|眺望良好|パントリー（食器・食品の収納庫）|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|高機能トイレ	東京都	世田谷区	
https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_74604193/	74604193_E号棟	3LDK	69.76	100.39	59900000	2024	06	設計住宅性能評価書|建設住宅性能評価書（新築時）|フラット３５・S適合証明書|フラット３５Sに対応|地盤調査済|即引渡可|２沿線以上利用可|ＬＤＫ１８畳以上|省エネ給湯器|スーパー 徒歩10分以内|市街地が近い|南向き|システムキッチン|浴室乾燥機|陽当り良好|全居室収納|南側道路面す|閑静な住宅地|総合病院 徒歩10分以内|前道６ｍ以上|角地|整形地|庭|シャワー付洗面化粧台|対面式キッチン|ワイドバルコニー|３面採光|バリアフリー|トイレ２ヶ所|浴室１坪以上|２階建|南面バルコニー|複層ガラス|全室南向き|オートバス|温水洗浄便座|ロフト|床下収納|浴室に窓|ＴＶモニタ付インターホン|節水型トイレ|緑豊かな住宅地|都市近郊|前面棟無|通風良好|全居室フローリング|眺望良好|パントリー（食器・食品の収納庫）|リビング階段|全居室複層ガラスか複層サッシ|都市ガス|全室２面採光|小学校 徒歩10分以内|平坦地|床暖房|食器洗乾燥機|周辺交通量少なめ|整備された歩道|浄水器|高機能トイレ	東京都	世田谷区	
