"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","飯田橋","九段下",4,1400000000,22000000,220,6500000,"不整形","","住宅","南","区道",10.9,"商業",80,600,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","飯田橋","九段下",4,780000000,16000000,160,4900000,"不整形",4,"住宅","南","区道",10.9,"商業",80,600,"2023年第1四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","飯田橋","九段下",4,380000000,20000000,65,6000000,"長方形",6.5,"住宅","東","区道",11,"商業",80,500,"2023年第1四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","岩本町","岩本町",4,140000000,9300000,50,2800000,"長方形",6,"その他","南東","区道",8,"商業",80,600,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","岩本町","岩本町",3,380000000,13000000,95,4000000,"ほぼ整形",7,"","南","都道",35.9,"商業",80,700,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","内神田","神田(東京)",3,1000000000,31000000,110,9200000,"不整形",13.5,"事務所","北西","区道",8,"商業",80,600,"2023年第2四半期","隣地の購入"
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","鍛冶町","神田(東京)",1,800000000,24000000,110,7300000,"長方形",7,"事務所","北西","区道",22,"商業",80,600,"2022年第1四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","神田和泉町","秋葉原",4,170000000,4900000,115,1500000,"不整形",2.5,"事務所","東","区道",4.5,"商業",80,500,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","神田小川町","小川町(東京)",3,300000000,10000000,95,3100000,"長方形",7,"その他","西","区道",11,"商業",80,500,"2022年第4四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13101","東京都","千代田区","神田佐久間町","秋葉原",1,9600000,940000,35,280000,"長方形",30,"その他","接面道路無","","","商業",80,800,"2023年第4四半期",""
