walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
3,80,2021,4.0,130.5,True,False,True,False,True,100.0
3,90,2022,4.0,176.65716,True,False,False,True,True,170.0
12,70,2021,2.7,209.44445,True,True,True,False,False,100.0
12,70,2021,2.7,209.44445,True,True,True,False,False,100.0
4,75,2023,4.0,137.85715,True,False,False,False,True,170.0
12,130,2022,3.0,250.7,True,False,True,False,False,200.0
4,105,2023,1.8,171.0,True,False,False,True,False,140.0
4,80,2021,1.6,40.15,True,True,False,False,False,70.0
5,70,2021,2.0,49.5,True,False,False,True,True,54.0
5,65,2021,2.3,50.7484,True,False,False,True,True,64.0
6,55,2023,2.6,59.68572,True,False,True,False,True,50.0
2,85,2023,1.9,39.0,True,False,True,False,False,89.0
2,95,2023,1.9,45.5,True,False,True,False,False,97.0
4,95,2022,2.0,73.35,True,False,False,False,True,120.0
12,95,2022,4.0,81.58892,True,False,False,True,False,83.0
6,95,2022,4.0,57.0,True,False,False,True,False,84.0
5,100,2021,3.7,47.883355,True,True,True,False,False,74.0
2,125,2023,3.4,59.2,True,False,True,False,True,110.0
4,55,2022,3.6,18.9,True,False,True,False,False,52.0
4,70,2021,2.7,53.55,True,False,False,False,True,67.0
9,180,2023,3.6,308.0,True,False,False,False,True,140.0
8,70,2023,1.7,40.725,True,False,True,False,True,71.0
7,55,2020,3.0,102.5,True,False,False,True,False,50.0
13,65,2021,4.0,40.5,True,False,False,False,True,59.0
9,90,2021,4.0,54.0,True,False,False,True,True,79.0
8,70,2021,3.9,57.09195,True,False,False,True,True,63.0
5,70,2023,6.0,26.6,True,False,True,False,True,60.0
7,75,2023,1.8,58.2,True,False,False,False,True,81.0
7,90,2022,3.5,54.8,True,False,False,True,False,83.0
11,65,2021,2.1,30.825,True,False,False,True,False,50.0
10,80,2021,2.1,34.25,True,True,False,False,False,57.0
10,85,2023,4.0,117.0,True,False,True,False,False,88.0
11,90,2021,3.7,91.0,True,False,False,False,True,91.0
8,85,2022,5.2,55.0,True,True,True,False,False,75.0
5,165,2022,4.0,123.3333,True,True,False,False,False,200.0
7,100,2023,4.0,260.0,True,False,True,False,False,89.0
9,105,2023,4.0,64.4,True,False,True,False,True,92.0
9,100,2022,3.8,59.8,True,False,True,False,False,120.0
9,95,2022,4.0,55.2,True,False,False,False,True,100.0
10,85,2022,4.0,64.4,True,True,False,False,False,110.0
5,70,2021,4.6,35.55,True,False,False,False,True,68.0
9,75,2022,2.7,35.55,True,True,True,False,False,68.0
10,75,2021,2.9,129.566645,True,False,True,False,False,59.0
5,85,2022,4.0,96.0,True,False,True,False,True,76.0
12,85,2020,3.8,165.0,True,False,False,False,True,73.0
9,85,2023,4.0,45.6,True,False,True,False,False,96.0
7,75,2023,4.0,37.35,True,True,False,True,False,78.0
6,70,2022,3.7,71.5,True,True,False,False,False,80.0
6,75,2022,3.9,49.5,True,True,True,False,False,77.0
11,85,2021,3.8,55.65,True,False,False,True,False,75.0
7,125,2023,5.3,111.63339,True,False,True,False,False,170.0
7,145,2023,4.9,111.63339,True,False,True,False,True,160.0
4,90,2023,2.6,37.51,True,True,False,False,False,73.0
5,120,2022,3.6,51.15,True,False,False,False,True,140.0
11,95,2021,3.5,82.5,True,False,False,True,False,77.0
6,70,2022,3.1,57.75,True,False,False,False,True,57.0
9,65,2021,4.0,52.5,True,False,False,False,True,60.0
6,70,2022,3.1,52.5,True,False,False,False,True,60.0
9,70,2021,4.0,83.29232,True,False,True,False,False,68.0
5,90,2021,3.5,119.73271,True,False,False,True,False,76.0
2,95,2021,5.2,39.0,True,False,False,False,True,71.0
6,80,2020,3.4,57.33336,True,True,False,False,False,68.0
6,75,2020,4.0,60.916695,True,True,False,False,False,67.0
4,80,2023,3.3,42.6,True,True,True,False,False,68.0
8,85,2024,6.2,89.0,False,False,True,False,False,160.0
4,85,2022,3.4,37.65,True,True,True,False,False,78.0
4,65,2022,3.5,46.9,True,True,False,False,False,71.0
6,100,2021,4.0,73.15,True,True,False,False,False,90.0
8,85,2023,4.0,82.8,True,False,False,True,True,82.0
7,110,2022,4.0,63.75,True,False,False,False,True,74.0
8,75,2024,5.5,52.53336,True,True,False,False,False,88.0
9,90,2020,6.3,20.7,True,True,True,False,False,78.0
7,95,2022,3.7,49.5,True,False,False,False,True,75.0
7,100,2022,3.7,53.625,True,False,False,True,False,70.0
9,85,2021,3.7,55.25,True,False,False,True,True,78.0
6,95,2021,3.8,68.083365,True,False,False,False,True,76.0
5,75,2024,4.0,49.5,True,False,False,True,True,100.0
7,85,2023,2.8,32.5,True,True,False,False,False,62.0
7,85,2023,2.9,39.91,True,True,False,False,False,66.0
10,70,2023,4.0,43.5875,True,True,True,False,False,57.0
10,90,2022,4.0,65.55,True,True,True,False,False,66.0
7,75,2021,4.0,66.4,True,True,False,False,False,58.0
7,85,2021,10.0,72.749985,True,False,False,False,True,65.0
4,60,2023,2.6,67.146435,True,True,False,False,False,54.0
4,100,2023,4.5,78.1,True,True,False,True,False,140.0
2,100,2023,4.5,89.0,True,False,True,False,False,140.0
5,105,2021,6.2,76.65,True,False,True,False,False,120.0
7,95,2021,6.1,73.0,True,True,False,False,False,130.0
8,95,2021,6.1,73.0,True,True,False,False,False,140.0
4,85,2022,6.7,45.6,True,False,True,False,False,68.0
8,90,2021,3.8,53.2,True,False,True,False,False,78.0
5,105,2022,4.0,77.6,False,True,False,False,False,150.0
4,60,2022,4.0,30.8,True,False,False,True,True,65.0
3,65,2022,2.6,34.6,True,True,False,True,False,70.0
8,85,2023,3.3,66.0,True,False,False,True,False,85.0
7,90,2023,4.0,67.375,True,False,True,False,False,100.0
6,110,2022,4.0,144.0,True,False,False,True,True,110.0
6,75,2022,3.4,49.5,True,False,False,False,True,75.0
5,85,2024,2.5,84.5,True,False,False,True,False,92.0
4,360,2022,3.4,254.89296,True,True,False,False,False,530.0
9,75,2022,2.9,70.77499,True,True,False,True,False,73.0
5,95,2021,3.6,57.85,True,False,True,False,True,78.0
7,70,2021,1.9,57.2,True,False,False,False,True,74.0
8,75,2024,3.0,67.146435,True,False,False,False,True,85.0
7,65,2023,3.0,55.43037,True,True,False,False,False,96.0
2,90,2023,4.6,34.8,True,False,True,False,False,150.0
3,90,2023,4.0,45.65,True,True,False,False,False,120.0
3,95,2023,4.0,49.8,True,False,True,False,False,130.0
4,80,2021,4.0,50.0,True,False,True,False,False,84.0
3,70,2021,4.0,60.0,True,False,True,False,False,76.0
3,80,2021,3.6,88.75,True,True,False,False,False,80.0
4,85,2023,4.0,68.75,True,False,True,False,False,98.0
5,85,2023,4.0,48.125,True,False,True,False,False,89.0
8,95,2022,4.0,51.375,True,False,False,False,True,110.0
8,100,2022,4.0,44.525,True,False,False,False,True,120.0
8,100,2022,4.0,44.525,True,False,False,True,False,150.0
5,80,2021,3.4,70.46875,True,True,True,False,False,80.0
6,105,2023,4.0,102.5,True,False,True,False,False,100.0
5,85,2021,4.0,57.66665,True,False,True,False,True,77.0
5,110,2022,5.3,80.575,True,True,False,True,False,110.0
6,80,2021,3.4,37.95,True,True,True,False,False,77.0
3,95,2020,3.3,56.375,True,False,False,False,True,66.0
5,85,2021,4.0,61.5,True,False,False,False,True,73.0
12,130,2021,5.9,120.0,True,False,True,False,False,170.0
8,60,2023,3.0,44.84375,True,False,False,False,True,72.0
7,120,2023,4.0,96.0,True,True,False,False,False,170.0
4,100,2022,3.1,166.05,True,True,False,False,False,110.0
4,95,2022,3.2,184.5,True,True,False,False,False,90.0
8,100,2020,3.8,132.3,True,False,True,False,False,120.0
4,75,2023,4.0,52.1846,True,True,False,True,False,86.0
4,105,2021,4.0,143.0,True,True,False,False,False,95.0
4,90,2021,4.0,156.0,True,True,False,False,False,100.0
7,95,2023,4.3,46.2,True,True,True,False,False,99.0
5,100,2024,3.7,162.0,True,False,True,False,True,100.0
6,80,2023,4.0,66.0,True,False,False,True,True,96.0
7,95,2022,3.4,72.0,True,True,True,False,False,96.0
6,80,2022,4.0,61.2,True,True,True,False,False,79.0
9,80,2022,4.0,56.1,True,False,False,True,True,90.0
7,75,2022,4.0,67.283315,True,False,True,False,True,72.0
5,65,2021,3.7,49.5,True,False,True,False,True,80.0
9,100,2021,16.5,60.5,True,False,True,False,True,69.0
10,70,2022,4.0,51.8,True,False,False,True,True,58.0
9,100,2023,3.0,78.0,True,False,False,True,False,120.0
8,130,2023,3.0,94.15,True,True,False,True,False,140.0
7,70,2022,4.0,63.0,True,True,False,False,False,75.0
7,105,2022,4.0,133.0,True,False,False,False,True,130.0
7,75,2022,4.3,42.525,True,True,False,True,False,76.0
5,70,2022,4.0,32.4,True,False,True,False,False,70.0
5,70,2022,4.0,32.4,True,False,True,False,False,70.0
7,90,2022,3.3,46.8,True,False,False,False,True,87.0
5,115,2022,3.3,55.95,True,True,False,True,False,100.0
8,65,2022,3.5,54.0,True,True,True,False,False,77.0
8,85,2023,3.4,78.0,True,False,True,False,False,99.0
8,85,2023,3.4,78.0,True,False,True,False,False,100.0
8,85,2022,4.2,77.0,True,False,False,True,True,96.0
9,70,2022,3.6,52.65,True,True,False,True,False,97.0
4,95,2022,5.3,102.5,True,False,False,True,False,170.0
