,district,walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
24,千代田区,3,80,2021,4.0,130.5,True,False,True,False,True,100.0
502,港区,3,90,2022,4.0,176.65716,True,False,False,True,True,170.0
633,港区,12,70,2021,2.7,209.44445,True,True,True,False,False,100.0
634,港区,12,70,2021,2.7,209.44445,True,True,True,False,False,100.0
689,港区,4,75,2023,4.0,137.85715,True,False,False,False,True,170.0
738,港区,12,130,2022,3.0,250.7,True,False,True,False,False,200.0
1079,新宿区,4,105,2023,1.8,171.0,True,False,False,True,False,140.0
1086,新宿区,4,80,2021,1.6,40.15,True,True,False,False,False,70.0
1098,新宿区,5,70,2021,2.0,49.5,True,False,False,True,True,54.0
1099,新宿区,5,65,2021,2.3,50.7484,True,False,False,True,True,64.0
1106,新宿区,6,55,2023,2.6,59.68572,True,False,True,False,True,50.0
1107,新宿区,2,85,2023,1.9,39.0,True,False,True,False,False,89.0
1108,新宿区,2,95,2023,1.9,45.5,True,False,True,False,False,97.0
1114,新宿区,4,95,2022,2.0,73.35,True,False,False,False,True,120.0
1128,新宿区,12,95,2022,4.0,81.58892,True,False,False,True,False,83.0
1133,新宿区,6,95,2022,4.0,57.0,True,False,False,True,False,84.0
1162,新宿区,5,100,2021,3.7,47.883355,True,True,True,False,False,74.0
1164,新宿区,2,125,2023,3.4,59.2,True,False,True,False,True,110.0
1173,新宿区,4,55,2022,3.6,18.9,True,False,True,False,False,52.0
1179,新宿区,4,70,2021,2.7,53.55,True,False,False,False,True,67.0
1204,新宿区,9,180,2023,3.6,308.0,True,False,False,False,True,140.0
1206,新宿区,8,70,2023,1.7,40.725,True,False,True,False,True,71.0
1214,新宿区,7,55,2020,3.0,102.5,True,False,False,True,False,50.0
1218,新宿区,13,65,2021,4.0,40.5,True,False,False,False,True,59.0
1219,新宿区,9,90,2021,4.0,54.0,True,False,False,True,True,79.0
1221,新宿区,8,70,2021,3.9,57.09195,True,False,False,True,True,63.0
1228,新宿区,5,70,2023,6.0,26.6,True,False,True,False,True,60.0
1231,新宿区,7,75,2023,1.8,58.2,True,False,False,False,True,81.0
1235,新宿区,7,90,2022,3.5,54.8,True,False,False,True,False,83.0
1242,新宿区,11,65,2021,2.1,30.825,True,False,False,True,False,50.0
1243,新宿区,10,80,2021,2.1,34.25,True,True,False,False,False,57.0
1256,新宿区,10,85,2023,4.0,117.0,True,False,True,False,False,88.0
1263,新宿区,11,90,2021,3.7,91.0,True,False,False,False,True,91.0
1295,新宿区,8,85,2022,5.2,55.0,True,True,True,False,False,75.0
1313,新宿区,5,165,2022,4.0,123.3333,True,True,False,False,False,200.0
1322,新宿区,7,100,2023,4.0,260.0,True,False,True,False,False,89.0
1332,新宿区,9,105,2023,4.0,64.4,True,False,True,False,True,92.0
1333,新宿区,9,100,2022,3.8,59.8,True,False,True,False,False,120.0
1334,新宿区,9,95,2022,4.0,55.2,True,False,False,False,True,100.0
1335,新宿区,10,85,2022,4.0,64.4,True,True,False,False,False,110.0
1347,新宿区,5,70,2021,4.6,35.55,True,False,False,False,True,68.0
1348,新宿区,9,75,2022,2.7,35.55,True,True,True,False,False,68.0
1355,新宿区,10,75,2021,2.9,129.566645,True,False,True,False,False,59.0
1367,新宿区,5,85,2022,4.0,96.0,True,False,True,False,True,76.0
1369,新宿区,12,85,2020,3.8,165.0,True,False,False,False,True,73.0
1370,新宿区,9,85,2023,4.0,45.6,True,False,True,False,False,96.0
1373,新宿区,7,75,2023,4.0,37.35,True,True,False,True,False,78.0
1375,新宿区,6,70,2022,3.7,71.5,True,True,False,False,False,80.0
1377,新宿区,6,75,2022,3.9,49.5,True,True,True,False,False,77.0
1388,新宿区,11,85,2021,3.8,55.65,True,False,False,True,False,75.0
1391,新宿区,7,125,2023,5.3,111.63339,True,False,True,False,False,170.0
1392,新宿区,7,145,2023,4.9,111.63339,True,False,True,False,True,160.0
1394,新宿区,4,90,2023,2.6,37.51,True,True,False,False,False,73.0
1399,新宿区,5,120,2022,3.6,51.15,True,False,False,False,True,140.0
1405,新宿区,11,95,2021,3.5,82.5,True,False,False,True,False,77.0
1406,新宿区,6,70,2022,3.1,57.75,True,False,False,False,True,57.0
1408,新宿区,9,65,2021,4.0,52.5,True,False,False,False,True,60.0
1409,新宿区,6,70,2022,3.1,52.5,True,False,False,False,True,60.0
1410,新宿区,9,70,2021,4.0,83.29232,True,False,True,False,False,68.0
1411,新宿区,5,90,2021,3.5,119.73271,True,False,False,True,False,76.0
1412,新宿区,2,95,2021,5.2,39.0,True,False,False,False,True,71.0
1413,新宿区,6,80,2020,3.4,57.33336,True,True,False,False,False,68.0
1414,新宿区,6,75,2020,4.0,60.916695,True,True,False,False,False,67.0
1417,新宿区,4,80,2023,3.3,42.6,True,True,True,False,False,68.0
1418,新宿区,8,85,2024,6.2,89.0,False,False,True,False,False,160.0
1420,新宿区,4,85,2022,3.4,37.65,True,True,True,False,False,78.0
1423,新宿区,4,65,2022,3.5,46.9,True,True,False,False,False,71.0
1425,新宿区,6,100,2021,4.0,73.15,True,True,False,False,False,90.0
1428,新宿区,8,85,2023,4.0,82.8,True,False,False,True,True,82.0
1431,新宿区,7,110,2022,4.0,63.75,True,False,False,False,True,74.0
1438,新宿区,8,75,2024,5.5,52.53336,True,True,False,False,False,88.0
1439,新宿区,9,90,2020,6.3,20.7,True,True,True,False,False,78.0
1448,新宿区,7,95,2022,3.7,49.5,True,False,False,False,True,75.0
