取引時期,市区町村名,取引価格（㎡単価）
2021年第1四半期,あきる野市,69869.23076923077
2021年第1四半期,三宅村,3000.0
2021年第1四半期,三鷹市,426136.36363636365
2021年第1四半期,世田谷区,683912.4087591241
2021年第1四半期,中央区,2375000.0
2021年第1四半期,中野区,646250.0
2021年第1四半期,八丈町,4333.333333333333
2021年第1四半期,八王子市,141004.0
2021年第1四半期,北区,573500.0
2021年第1四半期,千代田区,2900000.0
2021年第1四半期,台東区,1148333.3333333333
2021年第1四半期,品川区,901666.6666666666
2021年第1四半期,国分寺市,321000.0
2021年第1四半期,国立市,316000.0
2021年第1四半期,墨田区,719200.0
2021年第1四半期,多摩市,183894.73684210525
2021年第1四半期,大島町,6800.0
2021年第1四半期,大田区,625600.0
2021年第1四半期,小平市,226033.33333333334
2021年第1四半期,小金井市,407000.0
2021年第1四半期,府中市,362285.71428571426
2021年第1四半期,文京区,1016296.2962962963
2021年第1四半期,新宿区,1268709.677419355
2021年第1四半期,新島村,2800.0
2021年第1四半期,日野市,151051.85185185185
2021年第1四半期,昭島市,181882.35294117648
2021年第1四半期,杉並区,608791.6666666666
2021年第1四半期,東久留米市,224487.5
2021年第1四半期,東大和市,125076.92307692308
2021年第1四半期,東村山市,230160.0
2021年第1四半期,板橋区,493473.6842105263
2021年第1四半期,武蔵村山市,109846.15384615384
2021年第1四半期,武蔵野市,521764.70588235295
2021年第1四半期,江戸川区,340475.0
2021年第1四半期,江東区,736400.0
2021年第1四半期,清瀬市,161861.11111111112
2021年第1四半期,渋谷区,1148000.0
2021年第1四半期,港区,4188888.888888889
2021年第1四半期,狛江市,347500.0
2021年第1四半期,町田市,146309.80392156861
2021年第1四半期,目黒区,931860.4651162791
2021年第1四半期,福生市,117333.33333333333
2021年第1四半期,稲城市,256000.0
2021年第1四半期,立川市,230952.38095238095
2021年第1四半期,練馬区,431802.8169014084
2021年第1四半期,羽村市,95750.0
2021年第1四半期,荒川区,407636.36363636365
2021年第1四半期,葛飾区,349377.77777777775
2021年第1四半期,西多摩郡奥多摩町,19500.0
2021年第1四半期,西多摩郡日の出町,89333.33333333333
2021年第1四半期,西多摩郡檜原村,6000.0
2021年第1四半期,西多摩郡瑞穂町,89125.0
2021年第1四半期,西東京市,276521.73913043475
2021年第1四半期,調布市,383346.1538461539
2021年第1四半期,豊島区,711851.8518518518
2021年第1四半期,足立区,327796.6101694915
2021年第1四半期,青梅市,84791.66666666667
2021年第2四半期,あきる野市,65456.25
2021年第2四半期,三宅村,4900.0
2021年第2四半期,三鷹市,457142.85714285716
2021年第2四半期,世田谷区,703580.9523809524
2021年第2四半期,中野区,711785.7142857143
2021年第2四半期,八丈町,7866.666666666667
2021年第2四半期,八王子市,145129.0909090909
2021年第2四半期,北区,689448.275862069
2021年第2四半期,千代田区,4400000.0
2021年第2四半期,台東区,1116666.6666666667
2021年第2四半期,品川区,940967.7419354839
2021年第2四半期,国分寺市,379875.0
2021年第2四半期,国立市,327500.0
2021年第2四半期,墨田区,870000.0
2021年第2四半期,多摩市,194000.0
2021年第2四半期,大島町,3550.0
2021年第2四半期,大田区,573397.2602739726
2021年第2四半期,小平市,239088.23529411765
2021年第2四半期,小金井市,325714.28571428574
2021年第2四半期,府中市,317391.3043478261
2021年第2四半期,文京区,1017058.8235294118
2021年第2四半期,新宿区,891500.0
2021年第2四半期,新島村,2630.0
2021年第2四半期,日野市,196160.0
2021年第2四半期,昭島市,208235.29411764705
2021年第2四半期,杉並区,595915.4929577465
2021年第2四半期,東久留米市,222083.33333333334
2021年第2四半期,東大和市,129800.0
2021年第2四半期,東村山市,159681.25
2021年第2四半期,板橋区,570571.4285714285
2021年第2四半期,武蔵村山市,113857.14285714286
2021年第2四半期,武蔵野市,570952.380952381
2021年第2四半期,江戸川区,441904.7619047619
2021年第2四半期,江東区,952647.0588235294
2021年第2四半期,清瀬市,146916.66666666666
2021年第2四半期,渋谷区,1240833.3333333333
2021年第2四半期,港区,2944285.714285714
2021年第2四半期,狛江市,441250.0
2021年第2四半期,町田市,165744.89795918367
2021年第2四半期,目黒区,942857.1428571428
2021年第2四半期,福生市,150800.0
2021年第2四半期,稲城市,204166.66666666666
2021年第2四半期,立川市,238851.85185185185
2021年第2四半期,練馬区,450631.8181818182
2021年第2四半期,羽村市,146000.0
2021年第2四半期,荒川区,540967.7419354839
2021年第2四半期,葛飾区,327270.2702702703
2021年第2四半期,西多摩郡日の出町,62333.333333333336
2021年第2四半期,西多摩郡檜原村,9500.0
2021年第2四半期,西多摩郡瑞穂町,91384.61538461539
2021年第2四半期,西東京市,272272.7272727273
2021年第2四半期,調布市,357600.0
2021年第2四半期,豊島区,837368.4210526316
2021年第2四半期,足立区,322173.9130434783
2021年第2四半期,青梅市,115352.14285714286
2021年第3四半期,あきる野市,81200.0
2021年第3四半期,三鷹市,408666.6666666667
2021年第3四半期,世田谷区,724017.094017094
2021年第3四半期,中央区,2404285.714285714
2021年第3四半期,中野区,717931.0344827586
2021年第3四半期,八丈町,12000.0
2021年第3四半期,八王子市,135181.0344827586
2021年第3四半期,北区,541000.0
2021年第3四半期,千代田区,4000000.0
2021年第3四半期,台東区,1115333.3333333333
2021年第3四半期,品川区,1113703.7037037036
2021年第3四半期,国分寺市,282962.962962963
2021年第3四半期,国立市,358333.3333333333
2021年第3四半期,墨田区,875894.7368421053
2021年第3四半期,多摩市,150125.0
2021年第3四半期,大島町,850.0
2021年第3四半期,大田区,640563.3802816902
2021年第3四半期,小平市,240869.5652173913
2021年第3四半期,小笠原村,62000.0
2021年第3四半期,小金井市,385000.0
2021年第3四半期,府中市,295185.18518518517
2021年第3四半期,文京区,1552000.0
2021年第3四半期,新宿区,1041153.8461538461
2021年第3四半期,日野市,213076.92307692306
2021年第3四半期,昭島市,185466.66666666666
2021年第3四半期,杉並区,656547.619047619
2021年第3四半期,東久留米市,226842.1052631579
2021年第3四半期,東大和市,167933.33333333334
2021年第3四半期,東村山市,206555.55555555556
2021年第3四半期,板橋区,454425.5319148936
2021年第3四半期,武蔵村山市,123500.0
2021年第3四半期,武蔵野市,579000.0
2021年第3四半期,江戸川区,374473.07692307694
2021年第3四半期,江東区,899173.9130434783
2021年第3四半期,清瀬市,182727.27272727274
2021年第3四半期,渋谷区,1306000.0
2021年第3四半期,港区,4171428.5714285714
2021年第3四半期,狛江市,305000.0
2021年第3四半期,町田市,161410.2564102564
2021年第3四半期,目黒区,1067407.4074074074
2021年第3四半期,福生市,141875.0
2021年第3四半期,稲城市,201666.66666666666
2021年第3四半期,立川市,290931.0344827586
2021年第3四半期,練馬区,436796.875
2021年第3四半期,羽村市,166000.0
2021年第3四半期,荒川区,562481.4814814815
2021年第3四半期,葛飾区,343333.3333333333
2021年第3四半期,西多摩郡奥多摩町,19000.0
2021年第3四半期,西多摩郡日の出町,75000.0
2021年第3四半期,西多摩郡瑞穂町,90000.0
2021年第3四半期,西東京市,339285.71428571426
2021年第3四半期,調布市,304516.12903225806
2021年第3四半期,豊島区,796538.4615384615
2021年第3四半期,足立区,325485.71428571426
2021年第3四半期,青梅市,87432.72727272728
2021年第4四半期,あきる野市,101700.0
2021年第4四半期,三鷹市,468437.5
2021年第4四半期,世田谷区,736321.8390804598
2021年第4四半期,中央区,4533333.333333333
2021年第4四半期,中野区,708064.5161290322
2021年第4四半期,八王子市,140470.0
2021年第4四半期,北区,582964.2857142857
2021年第4四半期,千代田区,2200000.0
2021年第4四半期,台東区,1167142.857142857
2021年第4四半期,品川区,972121.2121212122
2021年第4四半期,国分寺市,329166.6666666667
2021年第4四半期,国立市,353636.36363636365
2021年第4四半期,墨田区,879580.6451612903
2021年第4四半期,多摩市,180555.55555555556
2021年第4四半期,大島町,4000.0
2021年第4四半期,大田区,650443.0379746836
2021年第4四半期,小平市,275555.55555555556
2021年第4四半期,小笠原村,24333.333333333332
2021年第4四半期,小金井市,393750.0
2021年第4四半期,府中市,347187.5
2021年第4四半期,文京区,1208750.0
2021年第4四半期,新宿区,1165555.5555555555
2021年第4四半期,日野市,226166.66666666666
2021年第4四半期,昭島市,192937.5
2021年第4四半期,杉並区,630000.0
2021年第4四半期,東久留米市,222916.66666666666
2021年第4四半期,東大和市,163777.77777777778
2021年第4四半期,東村山市,178111.11111111112
2021年第4四半期,板橋区,504615.3846153846
2021年第4四半期,武蔵村山市,123000.0
2021年第4四半期,武蔵野市,507692.3076923077
2021年第4四半期,江戸川区,376666.6666666667
2021年第4四半期,江東区,747916.6666666666
2021年第4四半期,清瀬市,188411.76470588235
2021年第4四半期,渋谷区,2254090.909090909
2021年第4四半期,港区,2180000.0
2021年第4四半期,狛江市,302857.14285714284
2021年第4四半期,町田市,173371.79487179487
2021年第4四半期,目黒区,1023333.3333333334
2021年第4四半期,神津島村,20000.0
2021年第4四半期,福生市,158333.33333333334
2021年第4四半期,稲城市,203900.0
2021年第4四半期,立川市,224233.33333333334
2021年第4四半期,練馬区,443415.09433962265
2021年第4四半期,羽村市,134700.0
2021年第4四半期,荒川区,613333.3333333334
2021年第4四半期,葛飾区,341389.83050847455
2021年第4四半期,西多摩郡奥多摩町,10033.333333333334
2021年第4四半期,西多摩郡日の出町,100000.0
2021年第4四半期,西多摩郡瑞穂町,98400.0
2021年第4四半期,西東京市,317304.347826087
2021年第4四半期,調布市,367684.2105263158
2021年第4四半期,豊島区,962733.3333333334
2021年第4四半期,足立区,452285.71428571426
2021年第4四半期,青梅市,91400.0
2022年第1四半期,あきる野市,86706.25
2022年第1四半期,三鷹市,513888.8888888889
2022年第1四半期,世田谷区,811348.3146067415
2022年第1四半期,中央区,1704000.0
2022年第1四半期,中野区,720384.6153846154
2022年第1四半期,八丈町,8800.0
2022年第1四半期,八王子市,133142.85714285713
2022年第1四半期,北区,626857.1428571428
2022年第1四半期,千代田区,5500000.0
2022年第1四半期,台東区,1138500.0
2022年第1四半期,品川区,900645.1612903225
2022年第1四半期,国分寺市,420000.0
2022年第1四半期,国立市,379090.9090909091
2022年第1四半期,墨田区,756875.0
2022年第1四半期,多摩市,146777.77777777778
2022年第1四半期,大島町,9725.0
2022年第1四半期,大田区,615862.0689655172
2022年第1四半期,小平市,255136.36363636365
2022年第1四半期,小金井市,372142.85714285716
2022年第1四半期,府中市,303333.3333333333
2022年第1四半期,文京区,1192222.2222222222
2022年第1四半期,新宿区,1088846.1538461538
2022年第1四半期,日野市,175842.1052631579
2022年第1四半期,昭島市,177535.7142857143
2022年第1四半期,杉並区,637142.8571428572
2022年第1四半期,東久留米市,190000.0
2022年第1四半期,東大和市,177937.5
2022年第1四半期,東村山市,197692.3076923077
2022年第1四半期,板橋区,598484.8484848485
2022年第1四半期,武蔵村山市,130076.92307692308
2022年第1四半期,武蔵野市,607391.304347826
2022年第1四半期,江戸川区,390350.0
2022年第1四半期,江東区,1044000.0
2022年第1四半期,清瀬市,194545.45454545456
2022年第1四半期,渋谷区,1617692.3076923077
2022年第1四半期,港区,2163333.3333333335
2022年第1四半期,狛江市,382000.0
2022年第1四半期,町田市,170652.1739130435
2022年第1四半期,目黒区,1260909.0909090908
2022年第1四半期,神津島村,10000.0
2022年第1四半期,福生市,117666.66666666667
2022年第1四半期,稲城市,238000.0
2022年第1四半期,立川市,271809.5238095238
2022年第1四半期,練馬区,445918.36734693876
2022年第1四半期,羽村市,185000.0
2022年第1四半期,荒川区,748148.1481481482
2022年第1四半期,葛飾区,387275.0
2022年第1四半期,西多摩郡奥多摩町,29000.0
2022年第1四半期,西多摩郡檜原村,12000.0
2022年第1四半期,西多摩郡瑞穂町,153888.88888888888
2022年第1四半期,西東京市,321608.6956521739
2022年第1四半期,調布市,382821.4285714286
2022年第1四半期,豊島区,938275.8620689656
2022年第1四半期,足立区,463939.3939393939
2022年第1四半期,青梅市,85080.76923076923
2022年第2四半期,あきる野市,101666.66666666667
2022年第2四半期,三鷹市,496956.52173913043
2022年第2四半期,世田谷区,726000.0
2022年第2四半期,中央区,460000.0
2022年第2四半期,中野区,797037.0370370371
2022年第2四半期,八丈町,17750.0
2022年第2四半期,八王子市,139736.17021276595
2022年第2四半期,北区,637619.0476190476
